,index,title,genres,id,release_year,runtime,popularity,cast,crew
0,0,Minions,Family Animation Adventure Comedy,211672,2015,91.0,547.488298,Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan Jennifer Saunders Geoffrey Rush Steve Carell Pierre Coffin Katy Mixon Michael Beattie Hiroyuki Sanada Dave Rosenbaum Alex Dowding Paul Thornley Kyle Balda Ava Acres,Kyle Balda Pierre Coffin
1,1,Wonder Woman,Action Adventure Fantasy,297762,2017,141.0,294.337037,"Gal Gadot Chris Pine Robin Wright Danny Huston David Thewlis Connie Nielsen Elena Anaya Lilly Aspell Emily Carey Lucy Davis Saïd Taghmaoui Ewen Bremner Eugene Brave Rock Lisa Loven Kongsli Florence Kasumba Madeleine Vall Hayley Warnes Ann Wolfe Doutzen Kroes Samantha Jo Ann Ogbomo Danielle Lewis Eleanor Matsuura Josette Simon Brooke Ence Hari James Jacqui-Lee Pryce James Cosmo Martin Bishop Flora Nicholson Steffan Rhodri Rachel Pickup Rainer Bock Eva Dabrowski Kattreya Scheurer-Smith Betty Adewole Caroline Maria Winberg Rekha Luther Ooooota Adepo Zinnia Kumar Andrea Vasiliou Freddy Elletson Sammy Hayman Michael Tantrum Philippe Spall Edward Wolstenholme Jennie Eggleton Frank Allen Forbes Jemma Moore Caitlin Burles Ulli Ackermann Marko Leht Wolf Kahler Dominic Kinnaird Fred Fergus Freddy Carter Ian Hughes Andrew Byron Amber Doyle Alexander Mercury Gana Bayarsaikhan Camilla Roholm Sofia Abbasi Georgina Armstrong Annarie Boor Harry Brewis Bern Collaco Steve Doyle Dino Fazzani Flor Ferraco Mayling Ng Sternkiker François David Georgiou Roman Green Shane Griffin Steve Healey Karl Fredrick Hiemeyer Kornelia Horvath Kevin Hudson Tim Ingall Ben Kelleher John Kinory Dario A. Lee Christopher Marsh Lora Moss James M.L. Muller Ekran Mustafa Shaun Newnham ""Yves OHara"" Rajeev Pahuja Jag Patel Richard Price Anthony J. Sacco Adam Sef Mick Slaney Zack Snyder Fran Targ Roy Taylor Roy Martin Thorn Phil Tillott Matt Townsend Ray Whelan Tom Whelehan Zac Whitehead Miroslav Zaruba Lee Neville",Patty Jenkins
2,2,Beauty and the Beast,Family Fantasy Romance,321612,2017,129.0,287.253654,"Emma Watson Dan Stevens Luke Evans Kevin Kline Josh Gad Ewan McGregor Stanley Tucci Audra McDonald Gugu Mbatha-Raw Ian McKellen Emma Thompson Nathan Mack Hattie Morahan Adrian Schiller Gerard Horan Haydn Gwynne Ray Fearon Clive Rowe Thomas Padden Alexis Loizon Jimmy Johnston Dean Street Michael Jibson Zoe Rainey Jolyon Coy Rudi Goodman Henry Garrett Harriet Jones Sophie Reid Rafaëlle Cohen Carla Nella Tom Oakley Beth Willetts Simone Sault Mandy Montanez Leo Andrew Steven Butler Daniel Ioannou Dale Branston Lynne Wilmot Jane Fowler D.J. Bailey Rita Davies Sharon Gomez Daisy Duczmal Harry Marcus Oscar Francisco Kai Gordon Tom Burgering Joey Brown Freddie Hunter Daniel Daszek-Green Samuel Brown Max Brophy Skye Lucia Degruttola Lara Decaro Gemma Fray Adelaide Morgan Timia Julien-Box Sonoya Mizuno Abigayle Honeywill Jazz Peters Lily Frazer Stephanie Elstob ""Nicole ONeill"" Cassie Clare Sophie Carmen-Jones Sophia Brown Leah West Naomi Weijand Jasmine Takacs Ruth Steele Lucy St Louis Katie Singh Kayla Radam Courtney Pruce Nicola Mooi Anna Momcilovic Samira Mighty Fiona McDonald Abiona Omonua Cassie Macmillian Emily Loumba Jennifer Leung Ella Kora Hannah Kenna-Thomas Billie Kay-Piper Shireen Jathoonia Blythe Jandoo Chelsea Inez Leah Hill Selina Hamilton Helen Gulstan Lucy Alexa Gilbert Cj Field Cordelia Farnworth Paige Drury-Lawrence Natalie Davis Tanya Cumberland Ava Brennan Daisy Boyles Holly Bluett Koko Basigara Sophie Atkins Gabby Antrobus Rhianne Alleyn Hayley Ainsley Danielle Acors Marina Abdeen Nathan Vaughan Harris Ben Clare Ben Fox Tim Stanley Jody Hall Rebecca Mckinnis Dawn Buckland ""Ellen OGrady"" Alison Jenkins Ebony Molina Nicola Keen Freddie August Phil Grannel Jak Allen-Anderson William Bozier Vivien Parry Jacqui Jameson Norma Atallah Wendy Baldock Peter Challis Sandy Strallen Jemma Alexander Chris Andrew Mellon Alison Harding Obioma Ugoala Gizmo Alex Gillison Dan Trotter Karl Farrer Charlotte Worwood Marat Khairoullin Johanna Smitz Lindy Pieri Tyrone Love Alona Leoine Erica Melargo Richard Banks Jeremy Cave Luke Fictitious Chloe Collingwood Isobel Hamilton Rossana Silva Crystal Compton Marlonde Pierre Paul De La Rosa Clem So Teresa Shaughnessy",Bill Condon
3,3,Baby Driver,Action Crime,339403,2017,113.0,228.032744,"Ansel Elgort Lily James Kevin Spacey Jamie Foxx Jon Hamm Eiza González CJ Jones Jon Bernthal Flea Lanny Joon Paul Williams R. Marcos Taylor Sky Ferreira Lance Palmer Hudson Meek Brogan Hall Big Boi Mike ""Killer Mike"" Render Jon Spencer Jeff Chase Wilbur Fitzgerald Brigitte Kali Canales Andy McDermott Patrick R. Walker Ben VanderMey Shellita Boxie Allison King Morse Diggs Keith Hudson Marshall Choka Trey McGriff Elijah Everett Sidney Sewell Thurman Sewell Hal Whiteside Juliette Sicard D.R. Lewis Marvin E. West Connie Lee James Blackshear Christopher Beanland Walter Hill Erica Frene Marisol Correa Elizabeth Davidovich Duke Jackson Colin Lacativa Ronald Joe Vasquez Mason Pike Ryan Newton Donald K. Overstreet Danny Le Boyer David Conk Troy Faruk Chad Joyce Mark Smith",Edgar Wright
4,4,Big Hero 6,Adventure Family Animation Action Comedy,177572,2014,102.0,213.849907,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung Damon Wayans Jr. Génesis Rodríguez James Cromwell Alan Tudyk Maya Rudolph Abraham Benrubi Katie Lowes Billy Bush Daniel Gerson Paul Briggs Charlie Adler Marcella Lentz-Pope David Shaughnessy Cam Clarke Nicholas Guest Terri Douglas Tim Mertens Yuri Lowenthal Sundra Oakley Brian R. Norris Stan Lee Shane Sweet Frank Welker David Cowgill Kirk Baily Charlotte Gulezian Reed Buck Roy Conli Cooper Cowgill Jackie Gonneau Marlie Crisafulli Bridget Hoffman Kelly Hoover Leah Latham James Taku Leung Yumi Mizui Michael Powers Lynwood Robinson Josie Trinidad Dan Howell June Christopher,Chris Williams Don Hall
5,5,Deadpool,Action Adventure Comedy,293660,2016,108.0,187.860492,Ryan Reynolds Morena Baccarin Ed Skrein T.J. Miller Gina Carano Leslie Uggams Brianna Hildebrand Jed Rees Stefan Kapičić Randal Reeder Isaac C. Singleton Jr. Michael Benyaer Style Dayne Kyle Cassie Taylor Hickson Ayzee Naika Toussaint Justyn Shippelt Donna Yamamoto Hugh Scott Cindy Piper Emily Haine Aatash Amir Chad Riley Paul Belsito Darcey Johnson Kyle Rideout Jason William Day Stan Lee Benjamin Wilkinson Rachel Sheen Paul Lazenby Rob Hayter Heather Ashley Chase Fabiola Colmenero Victoria De Mare David Hardware Matthew Hoglie Tony Chris Kazoleas Greg LaSalle David Longworth Michael Neumeyer Sean Quan Anthony J. Sacco Olesia Shewchuk Dan Zachary,Tim Miller
6,6,Guardians of the Galaxy Vol. 2,Action Adventure Comedy Science Fiction,283995,2017,137.0,185.330992,"Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper Michael Rooker Karen Gillan Pom Klementieff Elizabeth Debicki Chris Sullivan Sean Gunn Sylvester Stallone Kurt Russell Wyatt Oleff Aaron Schwartz Laura Haddock Gregg Henry Seth Green Molly C. Quinn Evan Jones Jimmy Urine Stephen Blackehart Steve Agee Joe Fria Terence Rosemore Tommy Flanagan Richard Christy Michael Rosenbaum Ving Rhames Michelle Yeoh Rob Zombie Jim Gunn Sr. Leota Gunn Ben Browder Rhoda Griffis Kelly Richardson Elizabeth Ludlow Cheyanna Lavon Zubas Hilty Bowen Alexander Klein Sierra Love Milynn Sarley David Hasselhoff Hannah Gottesman Luke Cook Blondy Baruti Mac Wells Kendra Carelli Damita Jane Howard Brian Clackley Tahseen Ghauri Josh Tipis Jason Williams Stephen Vining Stan Lee Donny Carrington Fred Jeff Goldblum ""Alphonso AQen-Aten Jackson"" Fred Galle Nea Dune Miley Cyrus Guillermo Rodriguez",James Gunn
7,7,Avatar,Action Adventure Fantasy Science Fiction,19995,2009,162.0,185.070892,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez Giovanni Ribisi Joel David Moore CCH Pounder Wes Studi Laz Alonso Dileep Rao Matt Gerald Sean Anthony Moran Jason Whyte Scott Lawrence Kelly Kilgour James Patrick Pitt Sean Patrick Murphy Peter Dillon Kevin Dorman Kelson Henderson David Van Horn Jacob Tomuri Michael Blain-Rozgay Jon Curry Luke Hawker Woody Schultz Peter Mensah Sonia Yee Jahnel Curfman Ilram Choi Kyla Warren Lisa Roumain Debra Wilson Chris Mala Taylor Kibby Jodie Landau Julie Lamm Cullen B. Madden Joseph Brady Madden Frankie Torres Austin Wilson Sara Wilson Tamica Washington-Miller Lucy Briant Nathan Meister Gerry Blair Matthew Chamberlain Paul Yates Wray Wilson James Gaylyn Melvin Leno Clark III Carvon Futrell Brandon Jelkes Micah Moch Hanniyah Muhammad Christopher Nolen Christa Oliver April Marie Thomas Bravita A. Threatt Colin Bleasdale Mike Bodnar Matt Clayton Nicole Dionne Jamie Harrison Allan Henry Anthony Ingruber Ashley Jeffery Dean Knowsley Joseph Mika-Hunt Terry Notary Kai Pantano Logan Pithyou Stuart Pollock Raja Gareth Ruck Rhian Sheehan T. J. Storm Jodie Taylor Alicia Vela-Bailey Richard Whiteside Nikie Zambo Julene Renee,James Cameron
8,8,John Wick,Action Thriller,245891,2014,101.0,183.870374,Keanu Reeves Michael Nyqvist Alfie Allen Adrianne Palicki Bridget Moynahan Dean Winters Ian McShane John Leguizamo Willem Dafoe David Patrick Kelly Randall Duk Kim Lance Reddick Munro M. Bonnell Andy Omer Barnea Toby Leonard Moore Daniel Bernhardt Bridget Regan Keith Jardine Tait Fletcher Thomas Sadoski Clarke Peters Kevin Nash Gameela Wright Vladislav Koulikov Patricia Squire Vladimir Troitsky Scott Tixier Kazy Tauginas Alexander Frekey Carolyn Blair Samantha Crawford Tommy Bayiokos Nadia Kay Natalia Kiriya,Chad Stahelski David Leitch
9,9,Gone Girl,Mystery Thriller Drama,210577,2014,145.0,154.801009,"Ben Affleck Rosamund Pike Carrie Coon Neil Patrick Harris Tyler Perry Kim Dickens Patrick Fugit Missi Pyle Emily Ratajkowski Casey Wilson Lola Kirke Boyd Holbrook David Clennon Lisa Banes Scoot McNairy Sela Ward Kathleen Rose Perkins Lee Norris Leonard Kelly-Young Jamie McShane Pete Housman Lynn A. Freedman Cyd Strittmatter Ricky Wood Donna Rusch Mark Atteberry Darin Cooper Kate Campbell Brett Leigh Antonio St. James Lauren Glazier ""Julia Prudhomme"" Cooper Thornton Casey Ruggieri Ashley Didion Lexis Nutt L.A. Williams Blake Sheldon Sean Guse Fred Cross Scott Takeda Mark T Anderson Kathy Sweeney-Meadows Marc Abbink Christina Alex Samuel Baca Bill Blair Thomas R. Baker Gregoer Boru Will C. Caroline Clements Nancy DeMars Davina Joy Michael Kelly Elester Latham Aaron Massey Orion McCabe Roz McHenry Bryan McKinley Teebone Mitchell Justin Nesbitt Mark Parrish Jaclyn Rose Sahlima Joel Shock Robert Tarpinian Tracy Weisert Michelle Winters Tracy Brotherton Matilde Matteucci Dale Shane Leslie A. Hughes",David Fincher
