,title,crew,return,release_date,release_year,budget,revenue
0,Toy Story,['John Lasseter'],12.45,1995-10-30,1995,30000000,373554033.0
1,Jumanji,['Joe Johnston'],4.04,1995-12-15,1995,65000000,262797249.0
2,Grumpier Old Men,['Howard Deutch'],0.0,1995-12-22,1995,0,0.0
3,Waiting to Exhale,['Forest Whitaker'],5.09,1995-12-22,1995,16000000,81452156.0
4,Father of the Bride Part II,['Charles Shyer'],0.0,1995-02-10,1995,0,76578911.0
5,Heat,['Michael Mann'],3.12,1995-12-15,1995,60000000,187436818.0
6,Sabrina,['Sydney Pollack'],0.0,1995-12-15,1995,58000000,0.0
7,Tom and Huck,['Peter Hewitt'],0.0,1995-12-22,1995,0,0.0
8,Sudden Death,['Peter Hyams'],1.84,1995-12-22,1995,35000000,64350171.0
9,GoldenEye,['Martin Campbell'],6.07,1995-11-16,1995,58000000,352194034.0
10,The American President,['Rob Reiner'],1.74,1995-11-17,1995,62000000,107879496.0
11,Dracula: Dead and Loving It,['Mel Brooks'],0.0,1995-12-22,1995,0,0.0
12,Balto,['Simon Wells'],0.0,1995-12-22,1995,0,11348324.0
13,Nixon,['Oliver Stone'],0.31,1995-12-22,1995,44000000,13681765.0
14,Cutthroat Island,['Renny Harlin'],0.1,1995-12-22,1995,98000000,10017322.0
15,Casino,['Martin Scorsese'],2.23,1995-11-22,1995,52000000,116112375.0
16,Sense and Sensibility,['Ang Lee'],8.18,1995-12-13,1995,16500000,135000000.0
17,Four Rooms,"['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']",1.08,1995-12-09,1995,4000000,4300000.0
18,Ace Ventura: When Nature Calls,['Steve Oedekerk'],7.08,1995-11-10,1995,30000000,212385533.0
19,Money Train,['Joseph Ruben'],0.59,1995-11-21,1995,60000000,35431113.0
20,Get Shorty,['Barry Sonnenfeld'],3.81,1995-10-20,1995,30250000,115101622.0
21,Copycat,['Jon Amiel'],0.0,1995-10-27,1995,0,0.0
22,Assassins,['Richard Donner'],0.61,1995-10-06,1995,50000000,30303072.0
23,Powder,['Victor Salva'],0.0,1995-10-27,1995,0,0.0
24,Leaving Las Vegas,['Mike Figgis'],13.83,1995-10-27,1995,3600000,49800000.0
25,Othello,['Oliver Parker'],0.0,1995-12-15,1995,0,0.0
26,Now and Then,['Lesli Linka Glatter'],2.28,1995-10-20,1995,12000000,27400000.0
27,Persuasion,['Roger Michell'],0.0,1995-09-27,1995,0,0.0
28,The City of Lost Children,"['Jean-Pierre Jeunet', 'Marc Caro']",0.1,1995-05-16,1995,18000000,1738611.0
29,Shanghai Triad,['Zhang Yimou'],0.0,1995-04-30,1995,0,0.0
30,Dangerous Minds,['John N. Smith'],0.0,1995-08-11,1995,0,180000000.0
31,Twelve Monkeys,['Terry Gilliam'],5.72,1995-12-29,1995,29500000,168840000.0
32,Wings of Courage,['Jean-Jacques Annaud'],0.0,1996-09-18,1996,0,0.0
33,Babe,['Chris Noonan'],8.47,1995-07-18,1995,30000000,254134910.0
34,Carrington,['Christopher Hampton'],0.0,1995-11-08,1995,0,0.0
35,Dead Man Walking,['Tim Robbins'],3.58,1995-12-29,1995,11000000,39363635.0
36,Across the Sea of Time,['Stephen Low'],0.0,1995-10-20,1995,0,0.0
37,It Takes Two,['Andy Tennant'],0.0,1995-11-17,1995,0,0.0
38,Clueless,['Amy Heckerling'],0.0,1995-07-19,1995,12000000,0.0
39,"Cry, the Beloved Country",['Darrell James Roodt'],0.0,1995-12-15,1995,0,676525.0
40,Richard III,['Richard Loncraine'],0.0,1995-12-29,1995,0,0.0
41,Dead Presidents,"['Albert Hughes', 'Allen Hughes']",0.0,1995-10-06,1995,10000000,0.0
42,Restoration,['Michael Hoffman'],0.0,1995-12-29,1995,19000000,0.0
43,Mortal Kombat,['Paul W.S. Anderson'],6.79,1995-08-18,1995,18000000,122195920.0
44,To Die For,['Gus Van Sant'],1.06,1995-05-20,1995,20000000,21284514.0
45,How To Make An American Quilt,['Jocelyn Moorhouse'],2.36,1995-10-06,1995,10000000,23574130.0
46,Se7en,['David Fincher'],9.92,1995-09-22,1995,33000000,327311859.0
47,Pocahontas,"['Mike Gabriel', 'Eric Goldberg']",6.29,1995-06-14,1995,55000000,346079773.0
48,When Night Is Falling,['Patricia Rozema'],0.0,1995-05-05,1995,0,0.0
49,The Usual Suspects,['Bryan Singer'],3.89,1995-07-19,1995,6000000,23341568.0
50,Guardian Angel,['Richard W. Munchkin'],0.0,1994-11-22,1994,0,0.0
51,Mighty Aphrodite,['Woody Allen'],0.45,1995-09-13,1995,15000000,6700000.0
