,title,release_date
0,Toy Story,1995-10-30
1,Jumanji,1995-12-15
2,Grumpier Old Men,1995-12-22
3,Waiting to Exhale,1995-12-22
4,Father of the Bride Part II,1995-02-10
5,Heat,1995-12-15
6,Sabrina,1995-12-15
7,Tom and Huck,1995-12-22
8,Sudden Death,1995-12-22
9,GoldenEye,1995-11-16
10,The American President,1995-11-17
11,Dracula: Dead and Loving It,1995-12-22
12,Balto,1995-12-22
13,Nixon,1995-12-22
14,Cutthroat Island,1995-12-22
15,Casino,1995-11-22
16,Sense and Sensibility,1995-12-13
17,Four Rooms,1995-12-09
18,Ace Ventura: When Nature Calls,1995-11-10
19,Money Train,1995-11-21
20,Get Shorty,1995-10-20
21,Copycat,1995-10-27
22,Assassins,1995-10-06
23,Powder,1995-10-27
24,Leaving Las Vegas,1995-10-27
25,Othello,1995-12-15
26,Now and Then,1995-10-20
27,Persuasion,1995-09-27
28,The City of Lost Children,1995-05-16
29,Shanghai Triad,1995-04-30
30,Dangerous Minds,1995-08-11
31,Twelve Monkeys,1995-12-29
32,Wings of Courage,1996-09-18
33,Babe,1995-07-18
34,Carrington,1995-11-08
35,Dead Man Walking,1995-12-29
36,Across the Sea of Time,1995-10-20
37,It Takes Two,1995-11-17
38,Clueless,1995-07-19
39,"Cry, the Beloved Country",1995-12-15
40,Richard III,1995-12-29
41,Dead Presidents,1995-10-06
42,Restoration,1995-12-29
43,Mortal Kombat,1995-08-18
44,To Die For,1995-05-20
45,How To Make An American Quilt,1995-10-06
46,Se7en,1995-09-22
47,Pocahontas,1995-06-14
48,When Night Is Falling,1995-05-05
49,The Usual Suspects,1995-07-19
50,Guardian Angel,1994-11-22
51,Mighty Aphrodite,1995-09-13
52,Lamerica,1994-01-01
53,The Big Green,1995-09-29
54,Georgia,1995-05-19
55,Kids of the Round Table,1997-07-08
56,Home for the Holidays,1995-11-02
57,The Postman,1994-09-22
58,The Confessional,1995-09-29
59,The Indian in the Cupboard,1995-07-14
60,Eye for an Eye,1996-01-12
61,Mr. Holland's Opus,1995-12-29
