,title,release_year,vote_count,vote_average
0,Toy Story,1995,5415.0,7.7
1,Jumanji,1995,2413.0,6.9
2,Grumpier Old Men,1995,92.0,6.5
3,Waiting to Exhale,1995,34.0,6.1
4,Father of the Bride Part II,1995,173.0,5.7
5,Heat,1995,1886.0,7.7
6,Sabrina,1995,141.0,6.2
7,Tom and Huck,1995,45.0,5.4
8,Sudden Death,1995,174.0,5.5
9,GoldenEye,1995,1194.0,6.6
10,The American President,1995,199.0,6.5
11,Dracula: Dead and Loving It,1995,210.0,5.7
12,Balto,1995,423.0,7.1
13,Nixon,1995,72.0,7.1
14,Cutthroat Island,1995,137.0,5.7
15,Casino,1995,1343.0,7.8
16,Sense and Sensibility,1995,364.0,7.2
17,Four Rooms,1995,539.0,6.5
18,Ace Ventura: When Nature Calls,1995,1128.0,6.1
19,Money Train,1995,224.0,5.4
20,Get Shorty,1995,305.0,6.4
21,Copycat,1995,199.0,6.5
22,Assassins,1995,394.0,6.0
23,Powder,1995,143.0,6.3
24,Leaving Las Vegas,1995,365.0,7.1
25,Othello,1995,33.0,7.0
26,Now and Then,1995,91.0,6.6
27,Persuasion,1995,36.0,7.4
28,The City of Lost Children,1995,308.0,7.6
29,Shanghai Triad,1995,17.0,6.5
30,Dangerous Minds,1995,249.0,6.4
31,Twelve Monkeys,1995,2470.0,7.4
32,Wings of Courage,1996,4.0,6.8
33,Babe,1995,756.0,6.0
34,Carrington,1995,16.0,6.4
35,Dead Man Walking,1995,350.0,7.3
36,Across the Sea of Time,1995,2.0,3.5
37,It Takes Two,1995,149.0,6.1
38,Clueless,1995,828.0,6.9
39,"Cry, the Beloved Country",1995,13.0,6.7
40,Richard III,1995,50.0,6.9
41,Dead Presidents,1995,80.0,6.6
42,Restoration,1995,30.0,6.3
43,Mortal Kombat,1995,452.0,5.4
44,To Die For,1995,177.0,6.7
45,How To Make An American Quilt,1995,38.0,6.5
46,Se7en,1995,5915.0,8.1
47,Pocahontas,1995,1509.0,6.7
48,When Night Is Falling,1995,10.0,5.9
49,The Usual Suspects,1995,3334.0,8.1
50,Guardian Angel,1994,3.0,6.3
51,Mighty Aphrodite,1995,145.0,6.7
52,Lamerica,1994,11.0,7.7
53,The Big Green,1995,41.0,5.2
54,Georgia,1995,15.0,6.1
55,Kids of the Round Table,1997,1.0,3.0
56,Home for the Holidays,1995,39.0,6.3
57,The Postman,1994,181.0,7.6
58,The Confessional,1995,2.0,6.5
59,The Indian in the Cupboard,1995,136.0,5.9
60,Eye for an Eye,1996,65.0,5.8
61,Mr. Holland's Opus,1995,115.0,6.9
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,192.0,6.2
63,Two If by Sea,1996,14.0,4.5
64,Bio-Dome,1996,110.0,4.4
65,Lawnmower Man 2: Beyond Cyberspace,1996,32.0,2.8
66,Two Bits,1995,11.0,5.4
67,French Twist,1995,43.0,6.0
68,Friday,1995,513.0,7.0
69,From Dusk Till Dawn,1996,1644.0,6.9
70,Fair Game,1995,54.0,4.1
71,Kicking and Screaming,1995,36.0,7.0
72,Les Miserables,1995,8.0,6.6
73,Bed of Roses,1996,27.0,5.1
74,Big Bully,1996,16.0,3.9
75,Screamers,1995,154.0,6.1
76,Nico Icon,1995,3.0,7.3
77,The Crossing Guard,1995,74.0,6.1
78,The Juror,1996,91.0,5.5
79,The White Balloon,1995,20.0,7.5
80,Things to Do in Denver When You're Dead,1995,87.0,6.7
81,Antonia's Line,1995,26.0,7.2
82,Once Upon a Time... When We Were Colored,1996,2.0,4.5
83,Last Summer in the Hamptons,1995,0.0,0.0
84,Angels and Insects,1995,17.0,6.3
85,White Squall,1996,86.0,6.3
86,Dunston Checks In,1996,59.0,5.1
87,Black Sheep,1996,124.0,6.0
88,Nick of Time,1995,190.0,6.1
89,The Journey of August King,1995,3.0,6.7
90,Mary Reilly,1996,77.0,5.7
91,Vampire in Brooklyn,1995,113.0,4.5
92,Beautiful Girls,1996,103.0,6.6
93,Broken Arrow,1996,459.0,5.7
94,A Midwinter's Tale,1995,6.0,7.5
95,La Haine,1995,695.0,7.9
96,Shopping,1994,13.0,5.6
97,Heidi Fleiss: Hollywood Madam,1995,4.0,6.8
98,City Hall,1996,67.0,6.0
99,Bottle Rocket,1996,285.0,6.8
100,Mr. Wrong,1996,16.0,3.3
101,Unforgettable,1996,22.0,5.3
102,Happy Gilmore,1996,767.0,6.5
103,The Bridges of Madison County,1995,397.0,7.3
104,Nobody Loves Me,1994,5.0,5.1
105,Muppet Treasure Island,1996,93.0,6.5
106,Catwalk,1995,2.0,7.0
107,Headless Body in Topless Bar,1995,0.0,0.0
108,Braveheart,1995,3404.0,7.7
109,Taxi Driver,1976,2632.0,8.1
110,Rumble in the Bronx,1995,245.0,6.5
111,Before and After,1996,37.0,5.8
112,Margaret's Museum,1995,2.0,7.5
113,Happiness Is in the Field,1995,23.0,7.0
114,Anne Frank Remembered,1995,4.0,7.3
115,The Young Poisoner's Handbook,1995,19.0,6.9
116,If Lucy Fell,1996,11.0,5.4
117,Steal Big Steal Little,1995,7.0,5.1
118,Race the Sun,1996,21.0,5.2
119,The Boys of St. Vincent,1992,7.0,7.0
120,Boomerang,1992,139.0,5.4
121,Chungking Express,1994,249.0,7.9
122,The Star Maker,1995,29.0,6.8
123,Flirting with Disaster,1996,66.0,6.3
124,The Neverending Story III: Escape from Fantasia,1994,105.0,4.4
125,The Silences of the Palace,1994,3.0,4.3
126,Jupiter's Wife,1995,0.0,0.0
127,Pie in the Sky,1996,2.0,7.0
128,Angela,1995,9.0,5.6
129,Frankie Starlight,1995,4.0,5.4
130,Jade,1995,45.0,5.1
131,Nueba Yol,1995,1.0,5.5
132,Sonic Outlaws,1995,0.0,0.0
133,Down Periscope,1996,110.0,5.6
134,From the Journals of Jean Seberg,1995,2.0,6.5
135,Man of the Year,1995,2.0,3.8
136,The Neon Bible,1995,5.0,7.2
137,Target,1995,0.0,0.0
138,Up Close & Personal,1996,51.0,5.9
139,The Birdcage,1996,303.0,6.7
140,Virgin Mary,1995,2.0,7.0
141,The Brothers McMullen,1995,23.0,6.3
142,Bad Boys,1995,1729.0,6.5
143,The Amazing Panda Adventure,1995,31.0,5.0
144,The Basketball Diaries,1995,472.0,7.2
145,An Awfully Big Adventure,1995,11.0,6.0
146,Amateur,1994,21.0,6.5
147,Apollo 13,1995,1637.0,7.3
148,Rob Roy,1995,151.0,6.5
149,The Addiction,1995,46.0,6.4
150,Batman Forever,1995,1529.0,5.2
151,Belle de Jour,1967,163.0,7.3
152,Beyond Rangoon,1995,21.0,6.4
153,Blue in the Face,1995,28.0,6.8
154,Canadian Bacon,1995,57.0,5.9
155,Casper,1995,1045.0,6.0
156,Clockers,1995,69.0,6.8
157,Congo,1995,214.0,5.0
158,Crimson Tide,1995,508.0,7.0
159,Crumb,1994,71.0,7.6
160,Desperado,1995,898.0,6.8
161,Devil in a Blue Dress,1995,88.0,6.3
162,Die Hard: With a Vengeance,1995,2094.0,6.9
163,The Doom Generation,1995,57.0,5.6
164,Feast of July,1995,0.0,0.0
165,First Knight,1995,319.0,5.9
166,Free Willy 2 - The Adventure Home,1995,130.0,5.5
167,Hackers,1995,406.0,6.2
168,Jeffrey,1995,19.0,6.5
169,Johnny Mnemonic,1995,380.0,5.5
170,Judge Dredd,1995,643.0,5.4
171,Jury Duty,1995,34.0,4.0
172,Kids,1995,280.0,6.8
173,Living in Oblivion,1995,64.0,7.2
174,Lord of Illusions,1995,87.0,5.9
175,Love & Human Remains,1993,7.0,7.0
176,Mad Love,1995,27.0,5.5
177,Mallrats,1995,400.0,6.8
178,Mighty Morphin Power Rangers: The Movie,1995,153.0,5.2
179,Moonlight and Valentino,1995,10.0,5.6
180,Mute Witness,1995,36.0,6.4
181,Nadja,1994,12.0,5.9
182,The Net,1995,359.0,5.6
183,Nine Months,1995,171.0,5.5
184,Party Girl,1995,14.0,5.8
185,The Prophecy,1995,139.0,6.4
186,Reckless,1995,1.0,10.0
187,Safe,1995,62.0,7.2
188,The Scarlet Letter,1995,111.0,5.5
189,The Show,1995,2.0,5.3
190,Showgirls,1995,261.0,4.9
191,Smoke,1995,115.0,7.2
192,Something to Talk About,1995,60.0,5.7
193,Species,1995,457.0,5.5
194,The Stars Fell on Henrietta,1995,6.0,6.6
195,Strange Days,1995,334.0,6.8
196,The Umbrellas of Cherbourg,1964,119.0,7.6
197,The Tie That Binds,1995,9.0,4.6
198,Three Wishes,1995,18.0,6.1
199,Total Eclipse,1995,112.0,6.5
200,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,117.0,6.3
201,Under Siege 2: Dark Territory,1995,217.0,5.6
202,Unstrung Heroes,1995,9.0,6.4
203,Unzipped,1995,6.0,6.0
204,A Walk in the Clouds,1995,168.0,6.5
205,Waterworld,1995,1017.0,5.9
206,White Man's Burden,1995,25.0,5.1
207,Wild Bill,1995,27.0,5.9
208,The Browning Version,1994,11.0,6.0
209,Bushwhacked,1995,29.0,4.9
210,Burnt by the Sun,1994,35.0,6.7
211,Before the Rain,1994,45.0,7.7
212,Before Sunrise,1995,984.0,7.7
213,Billy Madison,1995,464.0,6.2
214,The Babysitter,1995,27.0,4.7
215,Boys on the Side,1995,48.0,6.3
216,The Cure,1995,58.0,7.2
217,Castle Freak,1995,40.0,5.8
218,Circle of Friends,1995,30.0,6.5
219,Clerks,1994,769.0,7.4
